CustomerID,ReturnDate,ReturnSales,OrderID
DIONL39584,20150123,$491.13 ,11294M4ZHOU 
DIONP698Z3,20150513,$0.00 ,05125H5SUQD 
DIONP698Z3,20150518,"$1,524.25 ",05125H5SUQD 
DIOPB14488,20150223,$68.54 ,02025W2QQRP 
DIORE29352,20150528,"$1,174.66 ",04295K8PSER 
DIORJ55947,20150326,$715.83 ,03075N1ZQZC 
DIORJ66487,20160217,$733.82 ,03145C5CERWA
DIORJ66487,20160217,"$1,792.00 ",03145C5CERW 
DIVED80278,20150307,$485.03 ,022850JYCCS 
DIVEM26715,20150121,$108.57 ,01035I9JFLI 
DIVIP33960,20150608,$676.73 ,05215I1VDFY 
DIVIP33960,20150608,"$1,411.04 ",05195I1UQZO 
DIVIS79605,20150216,$640.71 ,02085T2SGTL 
DIVIS79605,20150217,$47.69 ,02085T2SGTL 
DIVUC66812,20150707,$748.43 ,03185I4DDRY 
DIVUF26553,20150519,"$1,069.04 ",02135E5TKHQ 
DIXOC81408,20150116,$148.29 ,01095P2KPYX 
DIXOD23783,20150411,"$1,560.60 ",0207503RZVR 
DIXOG73774,20151110,$571.45 ,01084W2LEWM 
DIXOG73774,20151110,$429.26 ,01084W2LEWM 
DIXOG73774,20151110,$190.80 ,01084W2LEWM 
DIXOJ22947,20150410,$847.95 ,03285K4GIUF 
DIXOJ68623,20150224,$850.33 ,010750GKFYT 
DIXOK70900,20150523,$780.03 ,02275E7XLUO 
DIXOK70900,20150523,$321.00 ,02275E7XLUO 
DIXOM97776,20150422,$563.66 ,04115C4KEJA 
DIXOM97776,20150812,$490.78 ,04115C4KEJA 
DIXSJ40056,20151222,"$3,072.20 ",11294I4ZKHR 
DJAKE98828,20160207,$150.10 ,01255F2PBYOA
DJAMP18146,20160119,"$1,071.66 ",03155L2CGWP 
DJONN48577,20150813,"$2,950.51 ",01225G2ODCN 
DJUTD78105,20150216,"$1,047.53 ",01045E3JNTW 
DLUGR56957,20150317,"$1,368.68 ",03075I9ZWUL 
DOAK119   ,20150428,$214.25 ,04245R2NPEJ 
DONAT24884,20150427,$464.40 ,021150ETACK 
DONDE19690,20150618,"$2,645.00 ",04155D2LHRQ 
DONEJ56726,20160824,$527.04 ,03075K6ZWNT 
DONEM55439,20150314,$250.38 ,03065D2ZNVG 
DONES55990,20150527,$54.26 ,05255I1WPKF 
DONGW57265,20150228,$561.64 ,02265K4XHTP 
DONGY91857,20150508,"$2,754.00 ",041650TLLFT 
DONIA73642,20150509,"$1,957.84 ",03215P6ECEF 
DONLJ60512,20150320,"$1,481.27 ",03095K6AQEC 
DONLJ79704,20150115,$587.88 ,01075I1KBYR 
DONNJ86457,20150213,$325.88 ,01145H4LZYT 
DONNL23035,20150213,$359.34 ,02105K3SNYH 
DONNS20143,20150113,"$1,279.75 ",01025L3ISMFA
DONOA87932,20160419,$695.71 ,04045I2ILCYA
DONOA87932,20160419,$717.49 ,04045I2ILCY 
DONOC556Z3,20150311,$271.51 ,02165I3UIGU 
DONOD82837,20150330,$0.00 ,03195W2DQVA 
DONOD82837,20150328,$361.62 ,03195W2DQVA 
DORIJ57713,20150528,$54.62 ,05255EVWURE 
DORIM49043,20160222,$0.00 ,02285N5XYWD 
DORIM49043,20160225,$240.75 ,02285N5XYWD 
DORIR84225,20150424,"$1,739.27 ",03295E4GPYJ 
DORIS99623,20150327,"$2,778.84 ",02165C9UHGD 
DORIS99623,20150506,$999.68 ,03275C9GAVL 
